axis,variant,metric,layer,n_rows,n_positive,auroc_high_is_error,eligible_chains,eligible_fraction,mean_rank,expected_top1
token,raw,delta_norm,10,20377,170,0.6450152684422114,170,0.8292682926829268,44.73529411764706,0.0
token,raw,delta_norm,14,20377,170,0.5693877194565657,170,0.8292682926829268,53.59411764705882,0.0
token,raw,delta_norm,18,20377,170,0.7047490822923914,170,0.8292682926829268,35.9,0.011764705882352941
token,raw,delta_norm,22,20377,170,0.7437265478765367,170,0.8292682926829268,31.376470588235293,0.011764705882352941
token,raw,relative_delta_norm,10,20377,170,0.7307100917270951,170,0.8292682926829268,32.26470588235294,0.0
token,raw,relative_delta_norm,14,20377,170,0.6125779068988906,170,0.8292682926829268,47.78235294117647,0.0
token,raw,relative_delta_norm,18,20377,170,0.681764618550939,170,0.8292682926829268,38.358823529411765,0.0058823529411764705
token,raw,relative_delta_norm,22,20377,170,0.6724571275533522,170,0.8292682926829268,40.63529411764706,0.0058823529411764705
token,raw,turn_angle_rad,10,20377,170,0.6497806525985462,170,0.8292682926829268,41.59411764705882,0.011764705882352941
token,raw,turn_angle_rad,14,20377,170,0.6818698529047884,170,0.8292682926829268,38.49411764705882,0.0058823529411764705
token,raw,turn_angle_rad,18,20377,170,0.7647751652747009,170,0.8292682926829268,31.923529411764704,0.11176470588235295
token,raw,turn_angle_rad,22,20377,170,0.7974146990413922,170,0.8292682926829268,28.276470588235295,0.10588235294117647
token,raw,menger_curvature,10,20377,170,0.5510356050174808,170,0.8292682926829268,49.44705882352941,0.0
token,raw,menger_curvature,14,20377,170,0.622101979803155,170,0.8292682926829268,41.56470588235294,0.0
token,raw,menger_curvature,18,20377,170,0.5134689784262297,170,0.8292682926829268,58.44117647058823,0.0058823529411764705
token,raw,menger_curvature,22,20377,170,0.48115606414783463,170,0.8292682926829268,64.21764705882353,0.011764705882352941
token,raw,scale_free_curvature,10,20377,170,0.6578320267583453,170,0.8292682926829268,40.976470588235294,0.0058823529411764705
token,raw,scale_free_curvature,14,20377,170,0.692077730780539,170,0.8292682926829268,37.870588235294115,0.011764705882352941
token,raw,scale_free_curvature,18,20377,170,0.7644204541815737,170,0.8292682926829268,32.06470588235294,0.1
token,raw,scale_free_curvature,22,20377,170,0.7885936440196903,170,0.8292682926829268,29.83529411764706,0.10588235294117647
token,nuisance_residual,delta_norm,10,20377,170,0.6923305552240197,170,0.8292682926829268,37.51764705882353,0.0058823529411764705
token,nuisance_residual,delta_norm,14,20377,170,0.6404190161242901,170,0.8292682926829268,44.49411764705882,0.0
token,nuisance_residual,delta_norm,18,20377,170,0.7106311441288546,170,0.8292682926829268,34.23529411764706,0.0058823529411764705
token,nuisance_residual,delta_norm,22,20377,170,0.6787764286691566,170,0.8292682926829268,37.3,0.0
token,nuisance_residual,relative_delta_norm,10,20377,170,0.7554605422116389,170,0.8292682926829268,28.7,0.0
token,nuisance_residual,relative_delta_norm,14,20377,170,0.6677138673552263,170,0.8292682926829268,40.6764705882353,0.0
token,nuisance_residual,relative_delta_norm,18,20377,170,0.7285351028618504,170,0.8292682926829268,33.588235294117645,0.0058823529411764705
token,nuisance_residual,relative_delta_norm,22,20377,170,0.7107426372340394,170,0.8292682926829268,36.83529411764706,0.0058823529411764705
token,nuisance_residual,turn_angle_rad,10,20377,170,0.6224609119146248,170,0.8292682926829268,43.9,0.0
token,nuisance_residual,turn_angle_rad,14,20377,170,0.6580334712199325,170,0.8292682926829268,40.423529411764704,0.0058823529411764705
token,nuisance_residual,turn_angle_rad,18,20377,170,0.7457535099950803,170,0.8292682926829268,33.911764705882355,0.09411764705882353
token,nuisance_residual,turn_angle_rad,22,20377,170,0.7785057012858095,170,0.8292682926829268,30.388235294117646,0.1
token,nuisance_residual,menger_curvature,10,20377,170,0.43093860892701713,170,0.8292682926829268,67.31176470588235,0.0
token,nuisance_residual,menger_curvature,14,20377,170,0.48706374319906615,170,0.8292682926829268,58.11176470588235,0.0
token,nuisance_residual,menger_curvature,18,20377,170,0.46767806147549335,170,0.8292682926829268,65.2235294117647,0.0
token,nuisance_residual,menger_curvature,22,20377,170,0.5441011996425235,170,0.8292682926829268,58.98823529411764,0.011764705882352941
token,nuisance_residual,scale_free_curvature,10,20377,170,0.6294475705856154,170,0.8292682926829268,43.258823529411764,0.0058823529411764705
token,nuisance_residual,scale_free_curvature,14,20377,170,0.6672692049056966,170,0.8292682926829268,39.88235294117647,0.011764705882352941
token,nuisance_residual,scale_free_curvature,18,20377,170,0.7375411549288394,170,0.8292682926829268,34.741176470588236,0.07647058823529412
token,nuisance_residual,scale_free_curvature,22,20377,170,0.7585942844500595,170,0.8292682926829268,33.09411764705882,0.07058823529411765
