axis,variant,metric,layer,offset,n_pairs,pair_coverage,error_mean,error_ci_low,error_ci_high,control_mean,control_ci_low,control_ci_high,paired_difference,difference_ci_low,difference_ci_high,paired_effect_dz,matched_event_auroc,sign_flip_p,bh_q
token,raw,delta_norm,10,-32,144,0.7024390243902439,5.749153900477621,5.62335558268759,5.877799227750963,5.704419738716549,5.576902452856302,5.830503736436366,0.04473416176107195,-0.13337082428236804,0.2268415443185303,0.03976047337266818,0.5297067901234568,nan,nan
token,raw,delta_norm,10,-31,147,0.7170731707317073,5.80375050200897,5.676077312352706,5.928398394341372,5.690856482706914,5.578215710078777,5.803850132186396,0.11289401930205677,-0.06078090497425624,0.2835921626512696,0.1019892730850295,0.541024573094544,nan,nan
token,raw,delta_norm,10,-30,149,0.7268292682926829,5.700394171196343,5.592509094500702,5.805420099688857,5.681304413200225,5.5560280713458985,5.811297486772473,0.01908975799611751,-0.15261103894886555,0.1897395389992118,0.01742707099295505,0.5177244268276204,nan,nan
token,raw,delta_norm,10,-29,151,0.7365853658536585,5.742881545957351,5.627475301595713,5.857108904668038,5.685576528902875,5.5629515168287895,5.81544056147929,0.057305017054475695,-0.12736769117266927,0.23595804844470994,0.04976104504629573,0.5397131704749791,nan,nan
token,raw,delta_norm,10,-28,153,0.7463414634146341,5.722191062628054,5.598072073194716,5.844814685902564,5.829499612446704,5.70744445970635,5.946662802322238,-0.10730854981864979,-0.27721831931008234,0.06988159971299512,-0.09871393469763992,0.4676406510316545,nan,nan
token,raw,delta_norm,10,-27,156,0.7609756097560976,5.682801217604906,5.5679896676769625,5.804801508020132,5.7158219172404365,5.604622585116289,5.824169854705151,-0.03302069963553013,-0.18766733010609946,0.11018372892569271,-0.034259918750009506,0.48993261012491784,nan,nan
token,raw,delta_norm,10,-26,157,0.7658536585365854,5.659046454034793,5.5448641467246285,5.777489988515331,5.7229949046092425,5.6043800502066405,5.84534299328069,-0.06394845057444967,-0.2334589990840596,0.11580854392355407,-0.056716576630122716,0.47389346423790013,nan,nan
token,raw,delta_norm,10,-25,159,0.775609756097561,5.735290908213681,5.6155439347591045,5.863653206600333,5.7071431687792895,5.58342861199529,5.828506665109838,0.028147739434392197,-0.1321348856080253,0.20581051591057445,0.02606464728722302,0.5049246469680788,nan,nan
token,raw,delta_norm,10,-24,159,0.775609756097561,5.738220676686029,5.614650459934331,5.857997500896453,5.809424304362363,5.69560001001418,5.927072785935311,-0.07120362767633402,-0.24271660405884748,0.09927681392093854,-0.06706106509887705,0.47778964439697796,nan,nan
token,raw,delta_norm,10,-23,161,0.7853658536585366,5.759919065866411,5.635306539298585,5.877998525311488,5.723466408178673,5.613402645040003,5.829688108115462,0.036452657687738074,-0.12336790161843626,0.19298301231787066,0.035327217879040924,0.5107056054936152,nan,nan
