problem_id,n_cor,n_err,failrate,pr_mid_cor,pr_mid_err,norm_mid_cor,norm_mid_err,setdim_mid_cor,setdim_mid_err,pr_deep_cor,pr_deep_err,norm_deep_cor,norm_deep_err,setdim_deep_cor,setdim_deep_err
151,7,1,0.125,162.204,161.019,2.38,2.55,3.45,,143.161,143.462,8.63,8.45,3.39,
154,4,4,0.5,156.945,157.752,2.47,2.49,2.22,2.64,141.269,143.559,8.18,8.32,2.26,2.91
155,10,2,0.167,164.542,165.54,2.39,2.49,4.37,,146.228,143.824,8.07,7.95,4.96,
163,8,3,0.273,159.668,158.494,2.42,2.44,3.2,,139.206,137.637,8.63,8.76,3.78,
164,6,1,0.143,159.393,156.508,2.74,2.88,1.97,,140.349,140.38,9.38,9.87,1.96,
169,5,1,0.167,163.698,160.769,2.6,2.65,2.84,,140.159,140.928,8.67,9.05,3.08,
172,7,4,0.364,156.842,160.39,2.46,2.55,2.31,1.48,141.266,144.009,8.15,8.64,2.14,1.4
175,4,7,0.636,162.235,164.141,2.16,2.24,1.85,3.48,145.237,144.743,7.89,8.49,1.75,3.3
177,5,7,0.583,166.229,162.439,2.44,2.37,2.51,3.95,147.428,146.075,8.62,8.4,2.73,4.13
178,9,2,0.182,167.583,163.36,2.66,2.43,1.52,,143.531,139.703,9.33,8.39,1.78,
181,6,5,0.455,159.976,160.372,2.54,2.55,1.71,2.95,140.486,141.293,8.46,8.26,1.62,3.26
182,3,6,0.667,163.188,158.909,2.46,2.3,,3.06,141.979,140.827,8.14,8.19,,2.8
184,1,11,0.917,154.044,156.458,2.26,2.4,,5.24,139.326,141.341,8.09,8.32,,5.63
186,6,6,0.5,164.208,163.168,2.32,2.32,3.84,3.69,146.489,145.634,8.05,8.15,3.59,3.53
188,8,4,0.333,159.749,155.385,2.56,2.51,2.43,2.44,141.56,144.143,8.23,8.85,2.57,2.2
192,9,3,0.25,159.054,163.6,2.52,2.54,2.67,,145.223,146.358,8.72,9.01,2.52,
193,8,2,0.2,156.114,155.583,2.43,2.54,2.85,,139.161,140.982,8.12,8.28,2.52,
198,9,3,0.25,167.365,169.511,2.41,2.43,2.22,,143.668,146.302,8.23,8.1,2.34,
199,6,6,0.5,160.327,159.162,2.54,2.54,1.9,1.99,139.953,142.732,8.5,8.77,1.84,1.91
201,10,2,0.167,161.901,159.747,2.41,2.37,4.82,,144.356,145.917,8.02,8.02,5.24,
203,11,1,0.083,157.404,155.989,2.52,2.66,1.36,,134.941,135.118,8.8,9.5,1.43,
209,8,2,0.2,162.639,162.147,2.5,2.46,4.05,,140.328,141.222,8.55,8.54,3.86,
210,3,7,0.7,164.638,161.702,2.33,2.24,,4.21,143.794,146.217,8.22,8.03,,3.61
213,7,3,0.3,165.06,163.062,2.42,2.29,2.73,,143.21,144.936,8.3,7.92,2.78,
214,2,10,0.833,156.3,160.279,2.36,2.23,,5.57,143.356,146.079,8.5,8.1,,5.76
216,10,1,0.091,158.357,146.958,2.43,2.31,3.08,,143.228,142.849,8.96,8.09,3.1,
226,8,3,0.273,159.593,159.328,2.56,2.58,3.48,,144.059,143.112,8.42,8.37,3.81,
227,10,1,0.091,158.789,161.115,2.46,2.41,5.07,,139.091,141.544,8.63,8.78,4.82,
234,8,2,0.2,158.923,160.332,2.4,2.32,1.79,,143.029,143.296,8.55,8.37,1.7,
239,10,2,0.167,161.076,162.669,2.35,2.38,3.99,,142.801,143.322,8.29,8.3,4.31,
241,6,4,0.4,159.533,160.607,2.48,2.28,1.58,1.74,138.228,139.874,8.83,8.1,1.6,1.87
242,3,8,0.727,161.36,162.303,2.36,2.41,,3.52,146.586,147.622,8.11,8.18,,3.76
244,8,3,0.273,160.445,159.867,2.34,2.29,3.55,,148.541,152.418,7.94,7.71,3.46,
245,4,3,0.429,166.244,165.532,2.63,2.7,1.85,,145.334,151.264,8.72,10.04,2.07,
246,10,1,0.091,161.533,158.769,2.56,2.52,2.45,,141.692,139.051,8.87,8.69,3.02,
249,9,2,0.182,160.003,161.215,2.58,2.58,4.87,,138.357,139.651,8.53,8.54,4.78,
250,7,5,0.417,160.761,161.057,2.42,2.33,2.89,2.43,141.593,143.868,8.34,7.94,2.44,2.53
252,6,5,0.455,159.752,160.133,2.42,2.45,1.82,2.25,139.133,142.305,8.7,8.59,1.83,2.22
255,2,2,0.5,164.457,163.243,2.43,2.57,,,140.495,145.152,8.45,9.24,,
257,11,1,0.083,161.489,160.79,2.47,2.41,3.38,,140.342,145.239,8.65,8.14,3.16,
259,10,2,0.167,162.11,164.579,2.46,2.55,2.28,,141.226,140.231,8.18,8.25,2.42,
260,3,1,0.25,159.931,162.889,2.42,2.13,,,137.222,141.346,8.55,8.28,,
263,7,1,0.125,160.783,159.782,2.55,2.7,1.44,,141.448,146.08,8.42,9.73,1.6,
266,8,4,0.333,157.901,157.815,2.48,2.37,2.97,1.68,144.882,145.281,8.63,8.56,2.98,1.65
271,8,2,0.2,164.717,165.727,2.58,2.48,1.77,,143.359,143.54,8.72,8.49,1.72,
272,4,2,0.333,159.626,161.3,2.56,2.63,2.48,,136.844,145.206,9.37,9.72,2.42,
273,5,2,0.286,161.3,161.179,2.41,2.24,1.74,,138.377,141.137,8.05,7.95,1.72,
275,11,1,0.083,161.586,164.895,2.36,2.71,3.56,,140.747,140.355,7.76,9.35,4.77,
276,11,1,0.083,164.096,163.661,2.35,2.25,4.29,,145.215,147.928,8.08,8.06,4.53,
283,10,1,0.091,153.611,163.674,2.62,2.28,2.9,,136.605,143.458,8.37,8.1,2.87,
287,6,1,0.143,161.263,160.835,2.46,2.37,2.17,,143.832,141.852,9.0,8.34,2.2,
288,4,1,0.2,161.346,159.356,2.62,2.53,1.65,,143.219,141.42,9.36,8.69,1.8,
289,10,1,0.091,160.685,158.822,2.56,2.42,2.49,,141.317,144.173,8.38,8.11,2.15,
290,7,1,0.125,163.441,167.425,2.64,2.38,1.83,,143.065,144.271,9.22,8.92,1.72,
291,10,1,0.091,167.346,165.993,2.48,2.48,2.27,,146.695,144.221,8.49,8.68,2.4,
293,5,7,0.583,163.063,164.034,2.45,2.42,1.49,3.45,141.28,142.09,8.24,8.15,1.48,3.36
296,9,3,0.25,161.123,161.089,2.34,2.32,3.58,,144.719,144.874,8.24,8.2,3.83,
297,6,4,0.4,155.665,159.256,2.46,2.36,1.66,2.38,139.192,146.518,8.45,8.3,1.63,2.43
298,2,6,0.75,163.346,164.662,2.25,2.41,,2.37,144.974,145.422,8.06,8.59,,2.29
299,11,1,0.083,157.434,152.672,2.48,2.41,3.15,,140.015,140.22,8.31,8.11,4.12,
